Entity,Count,Frequency
Estrogen_receptor,632,0.004805279725065008
Progesterone_receptor,562,0.004273049375769833
Ki67,460,0.003497513723939721
HER2_IHC,388,0.0029500767932361125
RO_values,313,0.0023798299904198537
HER2_status,288,0.002189747722814434
RP_values,281,0.0021365246878849165
RO_values:positive,265,0.0020148720366174482
HER2_values,194,0.0014750383966180562
RP_values:positive,165,0.0012545429661957694
HER2_status_values,141,0.0010720639892945667
HER2_status_values:negatif,127,0.0009656179194355317
RP_values:negative,116,0.000881981721689147
HER2_FISH,80,0.0006082632563373428
HER2_values:0,71,0.0005398336399993918
HER2_values:2+,51,0.00038776782591505603
RO_values:negative,48,0.00036495795380240566
FISH_values,40,0.0003041316281686714
HER2_values:1+,38,0.0002889250467602378
HER2_values:3+,34,0.0002585118839433707
FISH_values:negatif,17,0.00012925594197168535
HER2_status_values:positif,14,0.000106446069859035
FISH_values:en_cours,13,9.88427791548182e-05
FISH_values:positif,9,6.842961633795106e-05
Genetic_mutation,4,3.041316281686714e-05
Genetic_mutation_values,2,1.520658140843357e-05
Genetic_mutation_values:BRCA,1,7.603290704216785e-06
Genetic_mutation_values:Other,1,7.603290704216785e-06
FISH_values:non_disponible,1,7.603290704216785e-06
